"ID","Type","Name","Documentation","Specialization"
"4203b754-69f1-4c53-9ac3-9a3d5ce77398","ArchimateModel","Cube","qsd",""
"id-f3689751257645f49fd4f3a92d462e77","Capability","Angular","",""
"id-583a8f6381604fc3a00579883da47192","Capability","C#","",""
"id-419047408cfb4d308e1a10efa91f152b","Capability","Capacité","",""
"id-cfd2c02e71c44457beed018f82d7a7c8","Capability","Consultant","",""
"id-0fcdcd2f540f43529bbf5671ec136215","Capability","Docker","",""
"id-d0dc94559aae46e58aca4e5efd9f4d1b","Capability","Drupal","",""
"id-cb2b75d3b63f43e78d737d1f7219b626","Capability","Dynamics","",""
"id-e5c4050c47774d9db9704867955be0b7","Capability","Financement","",""
"id-5e31641bf14e4f4792cd0ce4f75ee8a9","Capability","Immobilier","",""
"id-c238d09192c942fbb9e1fa856f6d313b","Capability","Investisseur","",""
"id-6960bee6ab5349ef918e43d41a221648","Capability","Java","",""
"id-9da6e79fde5f4c4894ef6dbbe581227f","Capability","MS SQL","",""
"id-80bef6eaa34f468ebfb934285cb9e19b","Capability","PHP","",""
"id-0b4adfcb88bc492b94454509292553f0","Capability","Placement","",""
"id-16206202418e4151a009330616a13a41","Capability","Qliksense","",""
"id-5fa075481e494b5e98e01ea6c6e169eb","Capability","SAP BO","",""
"id-e1dd2fe9f9494b5e9209d1dd48599c8f","Capability","SAP BO","",""
"id-7a1d7567bf0d487391741dc7c1270628","Capability","Talend","",""
"id-1e78d1fe741e4526a5bc215822051218","Capability","Technologies informatique","",""
"id-ed4055be5ac54816be7f3bd9cdbb585e","BusinessActor","[00] Acteur","",""
"5d0029e0-a7b5-434e-b471-2684960db8e1","BusinessActor","_37Deux","",""
"id-10cb7d9c4ac549079c2500d2dc008354","BusinessActor","Acceuil","",""
"id-adfa1c43b5d6440494504d380dd9cfed","BusinessActor","Agate","",""
"id-79dbb941b52c423ba0fee517839ded6c","BusinessActor","Amélie LASSABE","",""
"id-09de41dbc5414d55b55a36ec42844eb1","BusinessActor","Anthony SAYN","",""
"id-438d783e803b4bdd81eb818c4e936bbb","BusinessActor","Antoine LE CUNUDER","",""
"52becdf0-62a5-4452-9127-662d2ace0687","BusinessActor","Apprenti","",""
"id-9c87acc3eb644378a5f338c3c1c4765f","BusinessActor","Assureurs","",""
"7d54ef3b-4aa4-47d1-9f20-9735add92803","BusinessActor","Banque","",""
"id-07edec664829440cb37d3b4f4b73896b","BusinessActor","Benoit GUINET","",""
"id-63a18393cf0a4a2bafdadfbfbd378d08","BusinessActor","Benoit P.","",""
"id-f4df4b5a87f04194be28db9493c8938f","BusinessActor","Business Actor","",""
"id-f7968c13b22e4ea9910e966b4235d652","BusinessActor","Cegid","",""
"id-9be98e59ab2546bfa0e81f81e557a8fe","BusinessActor","Charles SALVAGE","",""
"id-aec4440feb534c4d80c62248311ab38e","BusinessActor","Christel BOGARD","",""
"id-83766de19f7a4a95b30fe8dfebeaa0a2","BusinessActor","Châm LAVERDA","",""
"94cf4c42-fbc5-445e-bf6e-458fe32c1049","BusinessActor","Comité cohérence fonctionnelle et architecture","",""
"71ecd1af-8c64-4270-9b42-a8cb90e4814f","BusinessActor","Communication & Marketing","",""
"c82e13f2-210b-4353-9b59-1ee8871b3d4b","BusinessActor","Conseillers en financement","",""
"1ddd0a27-a59d-4a52-a141-ecb30f70a822","BusinessActor","Consultant","",""
"id-ca309980b0f54c4c88581262664b2edc","BusinessActor","Consultant","",""
"id-39cae571210a4f859d3620776beaac98","BusinessActor","Consultant - ALPSI","ALPSI (Agent-Lié de PSI)

L’Agent lié est une personne physique ou morale qui sous la responsabilité entière et inconditionnelle d'une seule et unique entreprise d'investissement pour le compte de laquelle elle agit, assure auprès des clients ou clients potentiels de cette entreprise:
- La promotion de ses services;
- Recueille et lui transmet les instructions ou les ordres des clients;
- Place des instruments financiers ;
- Fournit des conseils sur des instruments financiers ou les services offerts par l'entreprise d'investissement.

Les agents liés doivent être inscrits au registre unique de l'ORIAS.

https://prodemial.zendesk.com/hc/fr/articles/360017779811-ALPSI-Agent-Li%C3%A9-de-PSI-",""
"id-47d13256bf5240d28e62840fb0fe12dc","BusinessActor","Consultant - CIF","CIF (Conseiller en Investissement Financier)

Le Conseiller en Investissements Financiers (CIF) est une personne exerçant à titre de profession habituelle une activité de conseil portant sur :
- des opérations sur instruments financiers,
- la réalisation d'opérations de banque;
- la fourniture de services d'investissement.

Le CIF peut également fournir le service de réception et transmission d'ordres pour le compte de tiers dans les conditions fixées par le règlement général de l'AMF et exercer d'autres activités de conseil en gestion de patrimoine.

https://prodemial.zendesk.com/hc/fr/articles/360019658472-CIF-Conseiller-en-Investissement-Financier-",""
"id-d480a352569d44bea8e0dcaa56954d86","BusinessActor","Consultant - CII","",""
"id-e8fb986e395d4b958cfda520dc13c9be","BusinessActor","Consultant - MIA","MIA (Mandataire d’Intermédiaire en Assurance)

Est intermédiaire en assurance toute personne qui en contrepartie d'une rémunération exerce une activité d'intermédiation en assurance ou en réassurance.

Cette activité consiste à présenter, proposer ou aider à conclure des contrats d'assurance ou de réassurance et à réaliser d'autres travaux préparatoires à leur conclusion, contre tout versement pécuniaire ou tout autre forme d'avantage économique convenu et lié à la prestation d'intermédiation.

https://prodemial.zendesk.com/hc/fr/articles/360019662072-MIA-Mandataire-d-Interm%C3%A9diaire-en-Assurance-",""
"ce653bfe-3be5-45f0-8b21-39d9e9592d6f","BusinessActor","Contrôle de Gestion & Audit Interne","",""
"77a41002-5179-4cd5-a490-74a0e0c5a4d4","BusinessActor","Cube","",""
"id-648e82396d3d4dcebef6e00dff429e88","BusinessActor","Cédric SORET","",""
